row_type,source,retrieved_at_utc,menu,category_path,category,subcategory,product_name,product_number,form_code,product_type,availability,size_code,default_size,sku,uri,image_url,notes
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Strawberry Lemonade Energy Refresher,40494,Iced,Beverage,Available,Grande,Grande,11188743,https://www.starbucks.com/menu/product/40494/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoStrawberryLemonadeRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Strawberry Lemonade Energy Refresher,40494,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40494/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoStrawberryLemonadeRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Strawberry Lemonade Energy Refresher,40494,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40494/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoStrawberryLemonadeRefresher,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Dragonfruit Lemonade Energy Refresher,40497,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40497/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoDragonfruitLemonadeRefreshers,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Dragonfruit Lemonade Energy Refresher,40497,Iced,Beverage,Available,Grande,Grande,11189024,https://www.starbucks.com/menu/product/40497/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoDragonfruitLemonadeRefreshers,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Dragonfruit Lemonade Energy Refresher,40497,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40497/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoDragonfruitLemonadeRefreshers,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Dragonfruit Lemonade Energy Refresher,40497,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40497/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoDragonfruitLemonadeRefreshers,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Pink Energy Drink,40498,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40498/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/PinkDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Pink Energy Drink,40498,Iced,Beverage,Available,Grande,Grande,11189032,https://www.starbucks.com/menu/product/40498/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/PinkDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Pink Energy Drink,40498,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40498/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/PinkDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Pink Energy Drink,40498,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40498/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/PinkDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Dream Energy Drink,40496,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40496/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoDream,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Dream Energy Drink,40496,Iced,Beverage,Available,Grande,Grande,11188747,https://www.starbucks.com/menu/product/40496/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoDream,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Dream Energy Drink,40496,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40496/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoDream,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Mango Dream Energy Drink,40496,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40496/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/MangoDream,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Dragon Energy Drink,40499,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/40499/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/DragonDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Dragon Energy Drink,40499,Iced,Beverage,Available,Grande,Grande,11189028,https://www.starbucks.com/menu/product/40499/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/DragonDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Dragon Energy Drink,40499,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/40499/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/DragonDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,The Latest,Energy Refreshers,Energy Refreshers,,Dragon Energy Drink,40499,Iced,Beverage,Available,Trenta,Grande,,https://www.starbucks.com/menu/product/40499/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/DragonDrink,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Vanilla Protein Latte,28498,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28498/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Vanilla Protein Latte,28498,Iced,Beverage,Available,Grande,Grande,11182664,https://www.starbucks.com/menu/product/28498/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Vanilla Protein Latte,28498,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28498/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Protein Matcha,28502,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28502/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedMatchaTeaLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Protein Matcha,28502,Iced,Beverage,Available,Grande,Grande,11182650,https://www.starbucks.com/menu/product/28502/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedMatchaTeaLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Protein Matcha,28502,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28502/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedMatchaTeaLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Caramel Protein Latte,28733,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28733/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaramelProteinLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Iced Caramel Protein Latte,28733,Iced,Beverage,Available,Grande,Grande,11185335,https://www.starbucks.com/menu/product/28733/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaramelProteinLatte,
